Model,Campus,Loss,TopK,Metric,Baseline(loss0),Value,AbsDiff,RelDiff(%)
NCL,campus_10,loss1,Top 3,Hit Ratio,0.21944,0.21145,-0.007989999999999997,-3.641086401749907
NCL,campus_10,loss1,Top 3,Precision,0.27139,0.26152,-0.009870000000000045,-3.6368326025277438
NCL,campus_10,loss1,Top 3,Recall,0.29537,0.28423,-0.011140000000000039,-3.7715407793614917
NCL,campus_10,loss1,Top 3,NDCG,0.35446,0.33997,-0.014490000000000003,-4.087908367657846
NCL,campus_10,loss1,Top 5,Hit Ratio,0.3037,0.29318,-0.01052000000000003,-3.4639446822522317
NCL,campus_10,loss1,Top 5,Precision,0.22537,0.21756,-0.007809999999999984,-3.4654124328881326
NCL,campus_10,loss1,Top 5,Recall,0.38103,0.37129,-0.009739999999999971,-2.5562291683069502
NCL,campus_10,loss1,Top 5,NDCG,0.3745,0.36115,-0.013349999999999973,-3.5647530040053335
NCL,campus_10,loss1,Top 10,Hit Ratio,0.43708,0.43051,-0.00657000000000002,-1.5031573167383592
NCL,campus_10,loss1,Top 10,Precision,0.16217,0.15973,-0.0024399999999999977,-1.5045939446260082
NCL,campus_10,loss1,Top 10,Recall,0.49609,0.4914,-0.004689999999999972,-0.9453929730492395
NCL,campus_10,loss1,Top 10,NDCG,0.40876,0.3987,-0.010060000000000013,-2.4611018690674267
NCL,campus_10,loss1,Top 20,Hit Ratio,0.5768,0.56867,-0.00812999999999997,-1.409500693481271
NCL,campus_10,loss1,Top 20,Precision,0.10701,0.1055,-0.0015099999999999975,-1.4110830763480025
NCL,campus_10,loss1,Top 20,Recall,0.60226,0.59346,-0.00880000000000003,-1.4611629528774996
NCL,campus_10,loss1,Top 20,NDCG,0.44625,0.43514,-0.011109999999999953,-2.489635854341726
NCL,campus_10,loss2,Top 3,Hit Ratio,0.21944,0.21794,-0.0015000000000000013,-0.683558148013125
NCL,campus_10,loss2,Top 3,Precision,0.27139,0.26955,-0.0018400000000000083,-0.6779910829433686
NCL,campus_10,loss2,Top 3,Recall,0.29537,0.29326,-0.0021100000000000008,-0.7143582625181977
NCL,campus_10,loss2,Top 3,NDCG,0.35446,0.35303,-0.0014299999999999868,-0.40343057044518055
NCL,campus_10,loss2,Top 5,Hit Ratio,0.3037,0.29982,-0.00388000000000005,-1.2775765558116725
NCL,campus_10,loss2,Top 5,Precision,0.22537,0.22249,-0.0028799999999999937,-1.2778985668012575
NCL,campus_10,loss2,Top 5,Recall,0.38103,0.3763,-0.0047299999999999565,-1.2413720704406364
NCL,campus_10,loss2,Top 5,NDCG,0.3745,0.37148,-0.0030200000000000227,-0.8064085447263077
NCL,campus_10,loss2,Top 10,Hit Ratio,0.43708,0.43327,-0.0038100000000000356,-0.8716939690674558
NCL,campus_10,loss2,Top 10,Precision,0.16217,0.16076,-0.0014100000000000223,-0.8694579761978307
NCL,campus_10,loss2,Top 10,Recall,0.49609,0.49079,-0.005299999999999971,-1.068354532443704
NCL,campus_10,loss2,Top 10,NDCG,0.40876,0.40601,-0.00275000000000003,-0.6727664155005456
NCL,campus_10,loss2,Top 20,Hit Ratio,0.5768,0.5721,-0.0046999999999999265,-0.814840499306506
NCL,campus_10,loss2,Top 20,Precision,0.10701,0.10613,-0.0008799999999999919,-0.8223530511167105
NCL,campus_10,loss2,Top 20,Recall,0.60226,0.59348,-0.00878000000000001,-1.457842127984593
NCL,campus_10,loss2,Top 20,NDCG,0.44625,0.44262,-0.0036299999999999666,-0.813445378151253
NCL,campus_10,loss3,Top 3,Hit Ratio,0.21944,0.22093,0.0014899999999999913,0.6790010936930329
NCL,campus_10,loss3,Top 3,Precision,0.27139,0.27324,0.0018499999999999628,0.6816758170897832
NCL,campus_10,loss3,Top 3,Recall,0.29537,0.29786,0.0024899999999999922,0.8430104614551215
NCL,campus_10,loss3,Top 3,NDCG,0.35446,0.35833,0.0038699999999999846,1.0918016137222775
NCL,campus_10,loss3,Top 5,Hit Ratio,0.3037,0.30378,7.999999999996898e-05,0.02634178465590022
