Model,Campus,Loss,TopK,Metric,Baseline(loss0),Value,AbsDiff,RelDiff(%)
NCL,campus_10,loss3,Top 3,Hit Ratio,0.220295,0.2202666666666667,-2.8333333333296906e-05,-0.012861541720555121
NCL,campus_10,loss3,Top 3,Precision,0.2724566666666666,0.27242333333333335,-3.333333333327415e-05,-0.012234361427483572
NCL,campus_10,loss3,Top 3,Recall,0.2954333333333334,0.29363666666666666,-0.0017966666666667241,-0.6081462258829032
NCL,campus_10,loss3,Top 3,NDCG,0.35550333333333334,0.35531833333333335,-0.00018499999999999073,-0.05203889321243797
NCL,campus_10,loss3,Top 5,Hit Ratio,0.303405,0.3021733333333333,-0.0012316666666666864,-0.4059480452420648
NCL,campus_10,loss3,Top 5,Precision,0.225145,0.22423166666666663,-0.0009133333333333771,-0.405664497694098
NCL,campus_10,loss3,Top 5,Recall,0.3794516666666667,0.3792866666666666,-0.00016500000000008175,-0.04348379899067033
NCL,campus_10,loss3,Top 5,NDCG,0.3742466666666666,0.3742016666666667,-4.4999999999906226e-05,-0.012024155191737954
NCL,campus_10,loss3,Top 10,Hit Ratio,0.4372766666666667,0.438175,0.0008983333333332788,0.2054382046454065
NCL,campus_10,loss3,Top 10,Precision,0.162245,0.16257833333333335,0.00033333333333335213,0.20545060453841546
NCL,campus_10,loss3,Top 10,Recall,0.49644499999999997,0.49544499999999997,-0.0010000000000000009,-0.20143218281984931
NCL,campus_10,loss3,Top 10,NDCG,0.408915,0.40932166666666664,0.0004066666666666663,0.09945017098092912
NCL,campus_10,loss3,Top 20,Hit Ratio,0.5777100000000001,0.5760066666666667,-0.00170333333333339,-0.2948422795751138
NCL,campus_10,loss3,Top 20,Precision,0.107175,0.10685833333333333,-0.0003166666666666734,-0.2954669154809175
NCL,campus_10,loss3,Top 20,Recall,0.6015666666666667,0.5978216666666668,-0.0037449999999998873,-0.6225411425721539
NCL,campus_10,loss3,Top 20,NDCG,0.4461383333333333,0.44554333333333335,-0.0005949999999999567,-0.13336670614120957
NCL,campus_10,loss5,Top 3,Hit Ratio,0.220295,0.22118666666666664,0.0008916666666666517,0.4047602835591601
NCL,campus_10,loss5,Top 3,Precision,0.2724566666666666,0.27356166666666665,0.0011050000000000226,0.4055690813218088
NCL,campus_10,loss5,Top 3,Recall,0.2954333333333334,0.29626166666666665,0.0008283333333332643,0.2803791041407867
NCL,campus_10,loss5,Top 3,NDCG,0.35550333333333334,0.357095,0.001591666666666658,0.4477220091700944
NCL,campus_10,loss5,Top 5,Hit Ratio,0.303405,0.3033783333333333,-2.6666666666674832e-05,-0.00878913223799042
NCL,campus_10,loss5,Top 5,Precision,0.225145,0.22512833333333335,-1.666666666666483e-05,-0.007402636819234196
NCL,campus_10,loss5,Top 5,Recall,0.3794516666666667,0.3809933333333333,0.001541666666666608,0.406288020872208
NCL,campus_10,loss5,Top 5,NDCG,0.3742466666666666,0.37554,0.0012933333333333685,0.34558312699290183
NCL,campus_10,loss5,Top 10,Hit Ratio,0.4372766666666667,0.4385616666666667,0.0012849999999999806,0.29386429644084533
NCL,campus_10,loss5,Top 10,Precision,0.162245,0.16272166666666668,0.0004766666666666808,0.29379436448992624
NCL,campus_10,loss5,Top 10,Recall,0.49644499999999997,0.49672833333333327,0.00028333333333330213,0.05707245179895097
NCL,campus_10,loss5,Top 10,NDCG,0.408915,0.4103233333333334,0.0014083333333334003,0.34440735442167697
NCL,campus_10,loss5,Top 20,Hit Ratio,0.5777100000000001,0.5769633333333334,-0.0007466666666666733,-0.12924593077264945
NCL,campus_10,loss5,Top 20,Precision,0.107175,0.10703666666666667,-0.00013833333333333753,-0.12907238939429674
NCL,campus_10,loss5,Top 20,Recall,0.6015666666666667,0.5991533333333333,-0.0024133333333333784,-0.4011747104782033
NCL,campus_10,loss5,Top 20,NDCG,0.4461383333333333,0.44660999999999995,0.000471666666666648,0.10572206677300719
NCL,campus_102,loss3,Top 3,Hit Ratio,0.21682,0.21847250000000001,0.0016525000000000012,0.7621529379208565
NCL,campus_102,loss3,Top 3,Precision,0.238425,0.2402425,0.0018174999999999997,0.7622942225018349
NCL,campus_102,loss3,Top 3,Recall,0.2834325,0.28622250000000005,0.00279000000000007,0.9843613558784086
NCL,campus_102,loss3,Top 3,NDCG,0.3237975,0.3260275,0.0022300000000000098,0.6887020437155968
NCL,campus_102,loss3,Top 5,Hit Ratio,0.3012875,0.29978,-0.001507499999999995,-0.5003526531966959
NCL,campus_102,loss3,Top 5,Precision,0.1987875,0.19779,-0.0009975000000000123,-0.5017921146953467
NCL,campus_102,loss3,Top 5,Recall,0.36950249999999996,0.3697975,0.0002950000000000452,0.07983707823358306
NCL,campus_102,loss3,Top 5,NDCG,0.3462275,0.34664249999999996,0.0004149999999999432,0.11986338462425519
NCL,campus_102,loss3,Top 10,Hit Ratio,0.4308925,0.43051,-0.00038250000000000783,-0.08876924058785145
NCL,campus_102,loss3,Top 10,Precision,0.14214749999999998,0.1420225,-0.00012499999999998623,-0.0879368261840597
NCL,campus_102,loss3,Top 10,Recall,0.48839999999999995,0.49101500000000003,0.0026150000000000895,0.5354217854218037
NCL,campus_102,loss3,Top 10,NDCG,0.38739250000000003,0.38871,0.0013174999999999715,0.3400943487548085
NCL,campus_102,loss3,Top 20,Hit Ratio,0.5564775,0.56028,0.003802500000000042,0.6833160370365455
NCL,campus_102,loss3,Top 20,Precision,0.0917875,0.092415,0.0006275000000000031,0.6836442870761303
NCL,campus_102,loss3,Top 20,Recall,0.5886225,0.596765,0.008142499999999941,1.3833144332742873
NCL,campus_102,loss3,Top 20,NDCG,0.42410499999999995,0.4272375,0.003132500000000038,0.7386142582615245
NCL,campus_102,loss5,Top 3,Hit Ratio,0.21682,0.21720250000000002,0.00038250000000000783,0.17641361498017147
NCL,campus_102,loss5,Top 3,Precision,0.238425,0.2388475,0.0004224999999999923,0.17720457166823628
NCL,campus_102,loss5,Top 3,Recall,0.2834325,0.28321,-0.00022249999999995884,-0.07850193608706088
NCL,campus_102,loss5,Top 3,NDCG,0.3237975,0.32150749999999995,-0.0022900000000000698,-0.7072321435465282
NCL,campus_102,loss5,Top 5,Hit Ratio,0.3012875,0.2994175,-0.0018699999999999828,-0.6206696261876058
NCL,campus_102,loss5,Top 5,Precision,0.1987875,0.19755499999999998,-0.0012325000000000252,-0.620008803370446
NCL,campus_102,loss5,Top 5,Recall,0.36950249999999996,0.37059000000000003,0.0010875000000000745,0.2943146528102177
NCL,campus_102,loss5,Top 5,NDCG,0.3462275,0.3438525,-0.002375000000000016,-0.6859651529702337
NCL,campus_102,loss5,Top 10,Hit Ratio,0.4308925,0.43034,-0.0005525000000000113,-0.1282222364046743
NCL,campus_102,loss5,Top 10,Precision,0.14214749999999998,0.141965,-0.00018249999999997435,-0.12838776622872322
NCL,campus_102,loss5,Top 10,Recall,0.48839999999999995,0.48960250000000005,0.0012025000000001063,0.246212121212143
NCL,campus_102,loss5,Top 10,NDCG,0.38739250000000003,0.38560500000000003,-0.0017874999999999974,-0.46141832895577417
NCL,campus_102,loss5,Top 20,Hit Ratio,0.5564775,0.5579625,0.0014850000000000696,0.26685715055866044
NCL,campus_102,loss5,Top 20,Precision,0.0917875,0.0920325,0.0002450000000000091,0.26692087702574874
NCL,campus_102,loss5,Top 20,Recall,0.5886225,0.59339,0.004767499999999925,0.8099418557734243
NCL,campus_102,loss5,Top 20,NDCG,0.42410499999999995,0.423395,-0.0007099999999999329,-0.16741137218375943
NCL,campus_143,loss3,Top 3,Hit Ratio,0.5034866666666667,0.5007333333333334,-0.0027533333333333854,-0.5468532764853193
NCL,campus_143,loss3,Top 3,Precision,0.28721,0.28564,-0.0015700000000000158,-0.5466383482469328
NCL,campus_143,loss3,Top 3,Recall,0.57135,0.56907,-0.0022800000000000598,-0.39905487004464163
NCL,campus_143,loss3,Top 3,NDCG,0.5301566666666666,0.52734,-0.0028166666666665785,-0.5312894930429204
NCL,campus_143,loss3,Top 5,Hit Ratio,0.59916,0.5991566666666667,-3.3333333333551707e-06,-0.0005563344237524485
NCL,campus_143,loss3,Top 5,Precision,0.20506666666666665,0.20507,3.3333333333551707e-06,0.0016254876463045373
NCL,campus_143,loss3,Top 5,Recall,0.6508533333333333,0.64918,-0.0016733333333333045,-0.2570983734174578
NCL,campus_143,loss3,Top 5,NDCG,0.5612066666666666,0.5587799999999999,-0.002426666666666688,-0.4324016108147958
