userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
user7PXAP: (itemyWo9i,0.0005685714422725141) (itemllUul,0.0005196083220653236) (itemgoCpP,0.00041960872476920485) (itemEwdGW,0.0003825066960416734) (itemVZJC8,0.00032536473008804023) (itemwinns,0.0002888495218940079) (item9M3lc,0.00025540406932123005) (itemqF1uc,0.00021894171368330717) (itemuNHoh,0.0002028920571319759) (itemOCA2H,0.00018927546625491232) (itemUOpVk,0.000184038290171884)* (itemdC6Wf,0.00017349468544125557)* (item4p3W3,0.00016526025137864053) (itemcVs96,0.0001584950223332271) (itemWngsI,0.0001563950499985367) (itemwrPNe,0.00015435897512361407) (itemWUHgc,0.0001448807743145153) (itemxCvQp,0.00013277537073008716) (itemakzor,0.00011658293078653514) (item0QA86,0.00011598938726820052)*
userlRldH: (itemY6045,0.000595996156334877) (itemgRlgs,0.0005131991347298026) (itemguPDr,0.00045836198842152953)* (itempLAQY,0.0003134552971459925) (itemdkR3x,0.0003109865647275001) (itemd7GN3,0.0003048338112421334) (itemdqVVX,0.0002771563595160842) (itemjeN5W,0.00025742262369021773) (item1PK0V,0.0002421147801214829) (itemnvCLA,0.00023621917353011668) (itemMzrpc,0.00018396902305539697)* (itemSEVUh,0.00018205084779765457) (itemva2ph,0.0001673255901550874) (itemxwCH9,0.00015529600204899907) (item162CY,0.0001517252530902624)* (itemABTMM,0.0001361600443487987) (itemrDLmp,0.00013044531806372106) (itemlepVl,0.00012856275134254247) (itemuaFxY,0.00012270722072571516) (item31doJ,8.983477164292708e-05)*
user5FxiH: (itemCVpf3,0.0006015980616211891) (itemEQ5kD,0.00048002239782363176) (itemx52zm,0.00044338038424029946) (itemqppyW,0.00040304241701960564) (itemAj7Pj,0.0003377906105015427) (itembHmsT,0.00030484836315736175) (item03CQ6,0.00027565285563468933) (item31doJ,0.000258089741691947) (itemxvrbY,0.0002492298372089863) (itemVda4U,0.0002457626978866756)* (itemOCA2H,0.00021330392337404191)* (itemiCowm,0.0001959605433512479) (item2FMEC,0.0001703289890429005) (itemAlGQe,0.0001675971579970792)* (itemcvY2p,0.00016171621973626316) (itemEB2ZL,0.00016163896361831576) (itemDAINx,0.00016108815907500684) (itemXxPjl,0.0001430853153578937) (itemy6Af3,0.00013906923413742334) (itemZIbqG,0.00012583482021000236)
useriCq0M: (iteme5OvS,0.0005865240236744285)* (itemFoRzs,0.0004840705369133502) (itemcAUzH,0.0003288095467723906)* (itemY6045,0.0003036065027117729) (item2FMEC,0.00026136721135117114) (itemiCowm,0.0002560305583756417) (itemdkR3x,0.00025557971093803644) (itemr7q87,0.0002491195918992162) (itemmMX2p,0.00022273213835433125) (itemexwfY,0.0002198250003857538) (item1PK0V,0.00021173938876017928) (itemvQ7sQ,0.0002052064228337258) (item162CY,0.00019134613103233278) (itemSnsYW,0.00018895369430538267)* (itemYp8lv,0.00018035536049865186)* (itemSEVUh,0.00016813931870274246) (itemmbGoj,0.00016454470460303128)* (itemh9nHh,0.00016312688239850104) (itemVARpF,0.00016148622671607882) (itemTAGOA,0.00015025885659269989)
usernfs1b: (itemtXKxm,0.00042750773718580604) (itemVda4U,0.0003713756159413606) (item9lgJn,0.0003307837760075927) (itemYgdNj,0.00031015658169053495) (itemV1Vwk,0.00026056839851662517)* (itemMpeEL,0.0002585314214229584) (itemYp8lv,0.000256311206612736)* (itemDfuZl,0.00023703867918811738) (itemexwfY,0.00023646232148166746) (itemlN5jA,0.0002275268197990954) (itemyWo9i,0.0002111970679834485) (itemjIyZN,0.0002053394418908283) (itemEB2ZL,0.00018750035087577999)* (itemWeaex,0.00015846843598410487) (itemvn3OC,0.00014231409295462072) (itemUo6cI,0.00013652720372192562) (itemgEevH,0.00011085790174547583) (itemrDLmp,0.00010110400762641802) (item0amMQ,8.142209844663739e-05)* (itemRNQTR,6.623324588872492e-05)
userm4mHu: (itemBkBCG,0.0002686906373128295) (itemYgdNj,0.00026565417647361755) (itemRMr3n,0.00023630631039850414) (itemllAnb,0.0002252543345093727) (itembHmsT,0.00021328992443159223) (itemPzRe5,0.00020647734345402569) (itemwAkpa,0.0001933838939294219) (itemgEevH,0.00018934380204882473) (itemdjMTE,0.0001736480335239321) (itemvQ7sQ,0.00015139547758735716) (itemKe2Er,0.00015067750064190477) (itemFsCNW,0.00013728009071201086) (itemDF5f3,0.00012548266386147588)* (itemUo6cI,0.00011876858479809016) (itemFjQ4M,0.00011571458890102804) (itemlAKEf,0.000104233440652024) (item23scr,0.00010011448466684669) (itemZIbqG,9.727159340400249e-05) (items32yz,7.016354356892407e-05) (itemDAINx,6.23674422968179e-05)
userNuBW9: (itemtXKxm,0.00039406842552125454) (itembHmsT,0.0003162174252793193) (itemvpxYm,0.0002974811941385269) (itemdkR3x,0.0002827037824317813)* (itemLDh7R,0.00025194461341015995) (itemjmSae,0.0002500459086149931) (itemy6Af3,0.00024765467969700694) (itemTAGOA,0.00023960672842804343) (itemwAkpa,0.00020901836978737265)* (itemFzVAJ,0.0002007514121942222) (item52xJ8,0.00020055408822372556)* (itemMpeEL,0.0001912059960886836) (itemAj7Pj,0.00018194735457655042) (itemr1zoc,0.00017647685308475047) (itemdC6Wf,0.0001733626122586429) (item178I3,0.00017335698066744953) (itemguPDr,0.0001666023163124919) (item9M3lc,0.00015363679267466068)* (itemd9ChJ,0.00012802737182937562)* (itemvQ7sQ,0.00012788917229045182)
userwXmpL: (item4FB6e,0.0005881864344701171) (itemRy5SF,0.0004897058242931962) (itemgRlgs,0.0004609684692695737)* (itemPOi9Y,0.00036821886897087097) (itemYOYte,0.00036758286296389997) (itemnvCLA,0.00033108744537457824) (item0VuxA,0.0003218768397346139) (itemvQ7sQ,0.0002607272763270885) (itemJaOdU,0.00021556357387453318) (item4YMYG,0.00020900096569675952) (itemIrWce,0.0002048091118922457) (itemr7q87,0.00018107821233570576)* (itemKckEp,0.0001551913155708462)* (item03CQ6,0.0001466025714762509)* (itemdC6Wf,0.00014179825666360557) (itemjeN5W,0.00014150251809041947) (iteme5OvS,0.00014115762314759195) (itemTuHK9,0.00014029433077666909) (item0amMQ,0.00010999827645719051)* (itemfL8PL,8.446652645943686e-05)
userRGYXR: (itemd7GN3,0.0005230070091784) (itemBkBCG,0.0004746121703647077)* (item84cQ6,0.0004404693900141865) (itemr1zoc,0.00039656803710386157) (itemIBbVf,0.00039362069219350815)* (itemvn3OC,0.0003927596262656152)* (itemH8gzP,0.000357383512891829) (item03CQ6,0.0003052026149816811)* (itemsB45O,0.0002693271962925792) (itemnO4tX,0.0002559717104304582) (itemSrPKx,0.0002506823220755905) (itemEQ5kD,0.0002070827322313562)* (itemCmV8W,0.00017542514251545072) (itemKe2Er,0.0001665554300416261) (itemsaQmG,0.00016168507863767445) (itemY6045,0.00015454913955181837) (itemUiRdE,0.00013107029371894896) (itemllAnb,8.470233296975493e-05) (itemEzeNr,7.883354555815458e-05) (itemg6NgV,6.615281017730013e-05)
user7oJ9D: (itemVZJC8,0.0005539375124499202) (itemFEgKI,0.0004447640385478735) (item0amMQ,0.0004388786619529128) (itemN8AZu,0.000415997754316777) (itemRNQTR,0.0003644887183327228) (itemUyXau,0.0003412430523894727) (itemuz9u2,0.0003289227024652064) (itemCmV8W,0.0003111995756626129) (itemcvY2p,0.0003019025316461921) (itemkHjKP,0.00029665237525478005) (itemJyBn3,0.00028365993057377636)* (items32yz,0.0002678358578123152) (itemYgdNj,0.00026726716896519065) (itemuNHoh,0.00023915426572784781)* (itemUiRdE,0.00021771533647552133) (itemllUul,0.00018207448010798544) (itemguPDr,0.00016264503938145936) (itemgRlgs,0.0001592939079273492) (itemxvrbY,0.00013546523405238986) (itemEzeNr,0.00012922368478029966)
userIYes5: (item84cQ6,0.0006632914301007986) (itemBkBCG,0.0005986967007629573)* (itemy6Af3,0.0004661083221435547) (itemgEevH,0.00046393764205276966) (itemvpxYm,0.00039239772013388574) (iteme1aEV,0.0003758561215363443) (itemtXKxm,0.00037282941048033535) (itemg6NgV,0.00029466053820215166) (itemwrPNe,0.0002933818323072046) (itemvHkzH,0.0002518156252335757) (itemIBbVf,0.0002489332982804626) (itemdjMTE,0.00024401466362178326) (itemxCvQp,0.00024296565970871598) (itemAzjPR,0.00022467554663307965) (itemVHyMp,0.00017981472774408758)* (itembuWyf,0.0001378205488435924) (itemYp8lv,0.00012963515473529696) (itemvjUdv,0.00011886157153639942) (itemsF3jV,0.00011249935778323561) (iteme5OvS,0.00011022467515431345)
