userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
user7PXAP: (itemlN5jA,0.00037051827530376613) (itemnvCLA,0.00033355806954205036) (itemDYrOS,0.0003287862055003643) (itemVARpF,0.00032118428498506546) (itemFsCNW,0.0003144147340208292)* (itemcVs96,0.00028728815959766507) (itemVHyMp,0.0002734840090852231) (itemdjMTE,0.0002491893246769905) (itemRMr3n,0.00024522707099094987) (itemAzjPR,0.00023180333664640784) (item84cQ6,0.00022777169942855835) (itemTuHK9,0.0002017355291172862)* (itemrT9kO,0.0001869479747256264) (itemuNHoh,0.000175931811099872) (itemlHCkK,0.00017277500592172146)* (item9lgJn,0.00016036008310038596) (item618n3,0.00012488615175243467) (itemYOYte,0.00012343966227490455) (itemwrPNe,0.0001194007127196528) (itemFEgKI,0.00011606253974605352)*
userlRldH: (itemXxPjl,0.0004378697485662997) (itemjeN5W,0.0004280190041754395) (itemSeyqb,0.00029642044682987034) (itemAj7Pj,0.000294567464152351) (itemr7q87,0.00029192009242251515) (itemuaFxY,0.0002853788319043815) (itemCmV8W,0.0002847014693543315) (items32yz,0.00026828848058357835) (itemxCvQp,0.00025733187794685364) (item1PK0V,0.00023890426382422447) (itemsB45O,0.00021875035599805415) (itemDYrOS,0.00021351900068111718) (itemVZJC8,0.00019097728363703936) (item0VuxA,0.00018246924446430057) (itemPn5yf,0.0001801098114810884) (itemMpeEL,0.0001768135407473892)* (itemdqVVX,0.00016063509974628687) (item96Uu6,0.0001596722868271172) (itemlepVl,0.00015354444622062147) (itemCVpf3,0.0001422903878847137)
user5FxiH: (itemv7Clw,0.0004986360436305404) (itemxwCH9,0.00042862846748903394)* (itemEB2ZL,0.0002900662657339126) (itemUyXau,0.00028303058934397995) (itemSnsYW,0.00026844313833862543)* (itemZIbqG,0.00021636774181388319) (itemAj7Pj,0.00018529081717133522) (item96Uu6,0.0001742248859954998) (item7XnWI,0.00017112577916122973) (itemOCA2H,0.00016590904851909727)* (itemY6045,0.00015372224152088165) (itembHmsT,0.0001536980562377721) (itemDF5f3,0.000141601383802481) (itemCmV8W,0.00011355304741300642) (item0rrNz,0.0001124706759583205) (itemMzrpc,8.140988938976079e-05) (itemCVpf3,7.620190444868058e-05) (itemLPkI9,6.389751069946215e-05) (item0VuxA,4.6605906391050667e-05) (itemRNQTR,4.4383246859069914e-05)
useriCq0M: (itemh9nHh,0.00038043095264583826) (itemqppyW,0.0003742047119885683) (item2FMEC,0.0003357275272719562) (itemDYrOS,0.0003212540177628398) (itemwBj8x,0.0003067394136451185) (iteme5OvS,0.00030513005913235247)* (item96Uu6,0.0002971214707940817) (itemqF1uc,0.00027447653701528907) (itemxwCH9,0.0002707030507735908)* (itemguPDr,0.00026280368911102414) (itemehZbz,0.0002313067379873246) (itemLPkI9,0.00023085999418981373) (itemFoRzs,0.00021997978910803795) (item64Mnl,0.00020769747789017856) (itemcAUzH,0.00019831133249681443)* (itemsF3jV,0.0001980882225325331) (item52xJ8,0.00018130394164472818) (item23scr,0.000178309521288611) (itemEB2ZL,0.00017593000666238368) (itemSnsYW,0.00015413235814776272)*
usernfs1b: (itemHrihE,0.00034371891524642706)* (itemlN5jA,0.00033844634890556335) (itemjeN5W,0.0002958902041427791) (itemxCvQp,0.0002440762473270297)* (itemGAqYy,0.0002421321114525199) (itemBkBCG,0.00022944582451600581) (itemgEevH,0.00022770886425860226) (itemguPDr,0.00022432174591813236) (itemzfaal,0.00020904805569443852) (itemsB45O,0.00019665597938001156) (itemLPkI9,0.0001914236490847543) (itemXLYXV,0.00016369753575418144)* (itemtXKxm,0.00016298945411108434) (itemYgdNj,0.0001388009695801884) (itemvQ7sQ,0.00012466975022107363) (itemKckEp,0.00010721694707171991)* (itemUyXau,0.00010202397970715538) (itemEB2ZL,8.659138984512538e-05)* (itemlepVl,8.491410699207336e-05) (item84cQ6,8.373158925678581e-05)
userm4mHu: (item80q9y,0.00041464707464911044) (itemZIbqG,0.00040784175507724285) (itemd7GN3,0.00040155756869353354) (itemBkBCG,0.0003351663763169199) (itemllAnb,0.00032172666396945715) (itemJyBn3,0.00028000178281217813) (itemN8AZu,0.0002697784802876413) (itemwinns,0.0002626830246299505) (itemrDLmp,0.0002625883789733052)* (itemVZJC8,0.0002558760461397469) (itemH8gzP,0.00024249056878034025) (itemRy5SF,0.00022086329408921301) (item84cQ6,0.00021069470676593482) (itemUyXau,0.00019918281759601086)* (itemKe2Er,0.00018912414088845253) (itemsaQmG,0.00018437310063745826) (itemdC6Wf,0.00018082601309288293) (itemgEevH,0.00017804423987399787) (itemh9nHh,0.00017245407798327506)* (itemFEgKI,0.00017175870016217232)*
userNuBW9: (itemJyBn3,0.0004742288729175925) (itemiCowm,0.0004540545342024416) (itemtXKxm,0.0004480474744923413) (itemAj7Pj,0.0003540583420544863) (itemsB45O,0.0003313211491331458) (itemdC6Wf,0.0003237160271964967) (item9M3lc,0.00030980524024926126)* (itemRKTJC,0.0002452245680615306) (itemKHT0l,0.00023625486937817186) (itemCmV8W,0.00022386902128346264) (itemmMX2p,0.00020656951528508216)* (itemmt9Zs,0.00019508710829541087) (itemMpeEL,0.000178775007952936) (itemRMr3n,0.0001741191081237048) (itemYgdNj,0.0001626237208256498) (itemuaFxY,0.00015261695079971105)* (itemlepVl,0.00013843414490111172)* (itemwrPNe,0.00013603793922811747) (itemySRfm,0.00013398303417488933) (itemmbGoj,0.00012243659875821322)*
userwXmpL: (itemAlGQe,0.0004484676173888147) (itemYOYte,0.00036571099190041423) (item4FB6e,0.0003468836366664618) (itemKckEp,0.00032791864941827953)* (itemEwdGW,0.0002627066569402814) (itemQkv6a,0.0002546774339862168) (item6hTeJ,0.00022967802942730486) (itemlN5jA,0.00022849613742437214) (itemnvCLA,0.00022159730724524707) (itemgoCpP,0.00020738992316182703) (item0amMQ,0.00020560453413054347)* (itemJaOdU,0.000198161113075912) (itemRy5SF,0.00018792114860843867) (item03CQ6,0.00015715455811005086)* (itemxCvQp,0.00015475488908123225)* (itemmt9Zs,0.00013235353981144726) (itemUOpVk,0.00010607529839035124)* (itemdkR3x,0.0001044240707415156) (itemqD4yX,9.960080205928534e-05) (itemMNxUT,9.957214933820069e-05)
userRGYXR: (itemXLYXV,0.0003767292946577072) (iteme5OvS,0.0003765226574614644) (itemBuZOt,0.0003074417181778699) (itemyWo9i,0.00030178582528606057) (itemcAUzH,0.0002837674110196531) (itemMpeEL,0.00027701229555532336) (itemUiRdE,0.000270980061031878) (itemEzeNr,0.0002700939367059618) (itemBkBCG,0.00025736738462001085)* (itemllAnb,0.00024252862203866243) (itemZCI04,0.0002253888378618285)* (itemWngsI,0.00020853991736657917) (itemvn3OC,0.00020252411195542663)* (itemSrPKx,0.00019944575615227222) (itemmMX2p,0.00019934996089432389) (item4YMYG,0.00019649046589620411)* (itemVZJC8,0.00019002737826667726) (itemRy5SF,0.00018728553550317883) (itemqD4yX,0.00018169963732361794) (itemKe2Er,0.0001737588900141418)
user7oJ9D: (itemRKTJC,0.00044445082312449813) (item0amMQ,0.000437153154052794) (itemEzeNr,0.00039220540202222764) (itemRMr3n,0.0003334544599056244) (itemuz9u2,0.0002956899697892368) (item9DjWX,0.00029480509692803025) (itemllAnb,0.00029223444289527833) (itemDAINx,0.00025859326706267893) (itemUiRdE,0.00020392400620039552) (itemFzVAJ,0.00019820350280497223) (itemSrPKx,0.0001846721861511469) (item6TcLl,0.00017806669347919524) (itemjeN5W,0.00016586492711212486)* (itemWeaex,0.0001615531655261293) (itemlAKEf,0.00014296756125986576) (itemlHCkK,0.0001226013555424288)* (itemN8AZu,0.00012054435501340777) (itemGAqYy,0.00011934502254007384) (itemf6vR5,0.00011725259537342936) (itemsF3jV,0.00010756372648756951)
userIYes5: (itemguPDr,0.00041655043605715036) (iteme1aEV,0.00030378001974895597) (item52xJ8,0.00027798506198450923)* (itemXxPjl,0.00023817666806280613) (itemABTMM,0.0002194580010836944) (itemxCvQp,0.00021184365323279053) (item0amMQ,0.0002008570882026106) (itemMzrpc,0.00019261031411588192)* (itemSW5s8,0.0001904281525639817) (itemiCowm,0.00018131194519810379) (itemjIyZN,0.00016871308616828173) (iteme5OvS,0.00014085383736528456) (itemUo6cI,0.00013366623898036778)* (itemIBbVf,0.0001277869159821421) (itemVZJC8,0.0001243965671164915) (itemFsCNW,0.0001242806320078671) (itemsF3jV,0.0001231326605193317) (itemWngsI,0.00011961525160586461) (item9lgJn,0.00011176224506925792) (itemRKTJC,8.972180512500927e-05)*
