userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
user7PXAP: (itemvjUdv,0.00034011490060947835) (item9lgJn,0.00021770781313534826) (itemKe2Er,0.00021563415066339076) (itemO64Fe,0.0002056053199339658) (itemLDh7R,0.0001904934033518657) (item9M3lc,0.00017729536921251565) (itemvpxYm,0.00017605228640604764) (itemBmrIx,0.00017488955927547067) (item2FMEC,0.0001597611408215016)* (itemDYrOS,0.00014763110084459186) (itemdjMTE,0.00013051196583546698) (item0rrNz,0.00013023846258874983) (itemVARpF,0.00011825755791505799) (item4YMYG,0.00011578240810194984) (item84cQ6,0.0001127507202909328) (itemaPbf4,0.00011081963020842522) (itemVZJC8,9.710343147162348e-05) (itemmbGoj,9.410934580955654e-05) (itemxCvQp,9.09309892449528e-05) (itemwAkpa,8.15883104223758e-05)
userlRldH: (itemSeyqb,0.0004406378429848701) (itembHmsT,0.00040689317393116653) (itemxwCH9,0.0004019428160972893) (itemDYrOS,0.00038264982867985964) (itemlAKEf,0.00035224942257627845) (itemaPbf4,0.0003335741348564625) (itemPzRe5,0.0003013442037627101) (item0rrNz,0.0002703704230953008) (iteme1aEV,0.0002480402763467282) (itemEzeNr,0.0002389061701251194)* (itemjeN5W,0.0002286608360009268) (itemsB45O,0.0001942874805536121) (itemmbGoj,0.00018400067347101867) (itemwBj8x,0.0001763459003996104) (itemFsCNW,0.00017566954193171114) (item1PK0V,0.0001589987223269418) (itemuNHoh,0.00014055491192266345) (item0amMQ,0.0001275713148061186) (itemFEgKI,0.00012429805065039545) (itemguPDr,0.00010967817797791213)*
user5FxiH: (itemYp8lv,0.0004861877823714167)* (itemIBbVf,0.0004452186985872686) (item4p3W3,0.00040429679211229086) (itemg6NgV,0.00038784189382568)* (itemY6045,0.00037247376167215407) (itemehZbz,0.0003417001571506262) (itemnO4tX,0.0003002213779836893) (itemeROTS,0.0002809689030982554) (itemcVs96,0.000254425045568496) (itemy6Af3,0.0002206404897151515) (itemyWo9i,0.00021016850951127708)* (item178I3,0.0001803715422283858) (itemTAGOA,0.00017848536663223058) (itemcvY2p,0.0001780347665771842) (itemFEgKI,0.0001759371953085065) (itemYgdNj,0.00016838035662658513) (itemw0Hbk,0.00015969960077200085)* (itemEwdGW,0.00013581468374468386) (itemN8AZu,0.0001300292497035116) (itemABTMM,0.00012115274148527533)
useriCq0M: (itemFoRzs,0.0004787541984114796) (item96Uu6,0.0002957994001917541) (itemqF1uc,0.00028881424805149436) (itemmMX2p,0.00026829453418031335) (itemAj7Pj,0.0002378825593041256) (item2FMEC,0.00019767640333157033) (item7gr06,0.00018680980429053307) (itemr7q87,0.00015960603195708245) (itemdkR3x,0.0001307413913309574) (itemZIbqG,0.0001223624567501247) (itemwBj8x,0.00011424471449572593) (itemxbm5F,0.00010405899956822395) (itemiCowm,9.996250446420163e-05) (item64Mnl,9.390513150719926e-05) (itemxwCH9,9.343285637442023e-05)* (itemQJNS2,8.540900307707489e-05) (itemVZJC8,7.27434889995493e-05) (itemBkBCG,6.71126545057632e-05) (item7XnWI,4.78488982480485e-05) (itemaPbf4,3.816584649030119e-05)
usernfs1b: (itemYgdNj,0.00047002555220387876) (itemcAUzH,0.0004419477772898972)* (itemup8oB,0.0003486130735836923) (itemVda4U,0.00033001770498231053) (itemPzRe5,0.0002485431032255292)* (itemUyXau,0.00022048677783459425) (itemvQ7sQ,0.0002049565373454243) (itemUo6cI,0.00017364733503200114) (itemFsCNW,0.0001581470132805407) (itemMzrpc,0.00013865258370060474) (itemiCowm,0.0001356379216304049) (itemRy5SF,0.00012087069626431912) (itemguPDr,0.00011297620949335396) (itemxbm5F,0.00011065608123317361) (itema506d,0.00010355856647947803) (itemVARpF,0.00010331920202588663) (itemXLYXV,8.753052679821849e-05)* (itemSW5s8,8.450121822534129e-05) (itemxwCH9,8.239588350988925e-05) (itemxvrbY,6.49838475510478e-05)
userm4mHu: (itemjIyZN,0.0003695502527989447) (item84cQ6,0.00034156240872107446) (itemsaQmG,0.00031256471993401647) (itemrDLmp,0.00029684201581403613)* (itemH8gzP,0.00029025805997662246) (itemd7GN3,0.00027156498981639743) (itemgEevH,0.00024032621877267957) (itemdjMTE,0.00021889954223297536) (itemBkBCG,0.00019685618462972343) (itemwrPNe,0.0001920190261444077) (itemVZJC8,0.00017879848019219935) (itemeROTS,0.00015407800674438477) (itemJaOdU,0.0001328578218817711) (itemqD4yX,0.00013245026639197022) (itemxCvQp,0.00012712710304185748) (itemPzRe5,0.00012424697342794389) (itemYp8lv,0.00012098088336642832) (itemSrPKx,9.918398427544162e-05) (itemwinns,9.8220887593925e-05) (itemyo43o,8.912292832974344e-05)
userNuBW9: (item52xJ8,0.000387232459615916)* (itemVHyMp,0.00033867330057546496) (item64Mnl,0.0003344149445183575) (itempGfZ6,0.0003217945049982518)* (item7XnWI,0.00023600104032084346) (itemnO4tX,0.00023213878739625216) (itemlepVl,0.00022907904349267483)* (itemABTMM,0.00022718336549587548)* (itemwrPNe,0.00019403384067118168) (itemRNQTR,0.00017804367234930396) (itemAlGQe,0.00017790170386433601) (itemmMX2p,0.00015705451369285583)* (itemYgdNj,0.0001389447133988142) (itemdC6Wf,0.00013321745791472495) (itemMNxUT,0.00011741989146685228)* (itemV1Vwk,0.0001164496352430433) (itemDYrOS,0.00011401635856600478) (itemd9ChJ,0.00010897763422690332)* (itemUiRdE,0.00010576566273812205) (itemSeyqb,9.466121264267713e-05)
userwXmpL: (itemYOYte,0.00031860428862273693) (itemBuZOt,0.00031404310720972717) (itemvQ7sQ,0.00027340315864421427) (itemd7GN3,0.0002560291613917798) (itemlN5jA,0.000251937162829563) (itemySRfm,0.00023873752797953784) (itemllUul,0.0002147260820493102) (itemUo6cI,0.00021301183733157814) (item2FMEC,0.00021177734015509486) (itemqD4yX,0.00020904648408759385) (item0amMQ,0.00020205203327350318)* (itemSEVUh,0.00018542868201620877) (itemgRlgs,0.0001752364041749388)* (itemQkv6a,0.00017021701205521822) (itemAlGQe,0.00015260398504324257) (itemvjUdv,0.00015126880316529423) (itemUFxkv,0.00015038985293358564)* (itemuaFxY,0.000149501851410605) (itemIBbVf,0.0001414900179952383) (itemRMr3n,0.00013172060425858945)
userRGYXR: (itemVZJC8,0.0005986933829262853) (itemXxPjl,0.0004132552130613476)* (itemrDLmp,0.00038883613888174295)* (itemDAINx,0.0003866154875140637) (itemWngsI,0.00037571610300801694) (itemuNHoh,0.0003191253053955734)* (itemLPkI9,0.0003037087735719979) (itemvn3OC,0.0002995716640725732)* (itempGfZ6,0.00027999456506222486) (itemIBbVf,0.00026706542121246457)* (itemCmV8W,0.00026355235604569316) (itemEQ5kD,0.00025904306676238775)* (item64Mnl,0.00025362049927935004)* (item52xJ8,0.00024917611153796315) (itemQStwf,0.00024269460118375719) (itemjIyZN,0.00023595106904394925) (itemiCowm,0.00023072282783687115) (itemyWo9i,0.00021314485638868064) (itemVHyMp,0.00019461518968455493) (itemMpeEL,0.0001831716508604586)
user7oJ9D: (itemEzeNr,0.0003987978561781347) (itemBmrIx,0.00026836286997422576)* (itemVZJC8,0.00023785365920048207) (itemLPkI9,0.00023337497259490192) (itemxCvQp,0.00021722247765865177) (itemFEgKI,0.00021321207168512046) (itemySRfm,0.0002087500470224768)* (item9M3lc,0.00019312357471790165)* (itemN8AZu,0.00019012336269952357) (itemHrihE,0.00018573440320324153)* (itemYgdNj,0.0001736511621857062) (itemRKTJC,0.00017349737754557282) (itemvjUdv,0.0001665232703089714) (itemUOpVk,0.00016551726730540395)* (item4p3W3,0.00016296052490361035) (itemEwdGW,0.00016085895185824484) (itemiCowm,0.00015890176291577518)* (itemgRlgs,0.00015040980360936373) (itemRMr3n,0.00014528582687489688) (itemuz9u2,0.0001426947710569948)
userIYes5: (itemqppyW,0.0003911708190571517) (itemO64Fe,0.00029113481286913157) (itemcWumf,0.0002892121556214988) (itemy6Af3,0.00027712585870176554) (itemV1Vwk,0.0002675902214832604) (iteme1aEV,0.0002541947760619223) (itemXxPjl,0.0002493601059541106) (itemVHyMp,0.00022262425045482814)* (itemjIyZN,0.00021588958043139428) (itemVZJC8,0.00020376316388137639) (itemMzrpc,0.00017914017371367663)* (itemJyBn3,0.0001522348029538989)* (item9muy9,0.00014435974298976362) (item0amMQ,0.00013924905215390027) (itemiCowm,0.00012709377915598452) (iteme5OvS,9.530608804197982e-05) (itemLDh7R,9.091886749956757e-05) (itemwrPNe,8.584168972447515e-05) (itemN8AZu,7.643969729542732e-05)* (itemCmV8W,7.067391561577097e-05)
