userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
user7PXAP: (itemLDh7R,0.0006104969652369618) (itemWngsI,0.0005282505881041288) (itemVZJC8,0.0004587386501953006) (itemKe2Er,0.00040270842146128416) (iteme1aEV,0.00036529687349684536) (itemPzRe5,0.0002741781354416162) (itemvjUdv,0.00026935897767543793) (itemwinns,0.00021738107898272574) (item6TcLl,0.00019649896421469748)* (itemsF3jV,0.00017812549776863307) (item0rrNz,0.00016997924831230193) (itemTAGOA,0.0001650314370635897) (itemVARpF,0.00016324588796123862) (itemx52zm,0.00015398529649246484)* (itemwrPNe,0.00015181303024291992) (item4p3W3,0.00014177516277413815) (itemdqVVX,0.00012627564137801528) (itemllUul,0.00011374056339263916) (itemJyBn3,0.00011074786743847653)* (itemVHyMp,0.00010827100049937144)
userlRldH: (itemFEgKI,0.000486003584228456) (item0MxmA,0.00043163407826796174) (items32yz,0.00042816856876015663) (itemVZJC8,0.0003059445880353451) (itemr7q87,0.00030432522180490196) (itemuNHoh,0.0002850127639248967) (itemgEevH,0.0002791342849377543) (itemgRlgs,0.00023705331841483712) (itemPOi9Y,0.00021344466949813068) (itemEB2ZL,0.00021009580814279616) (itemxCvQp,0.00020527467131614685) (itemBuZOt,0.00019422204059083015) (iteme1aEV,0.000190294100320898) (itemxwCH9,0.0001859366166172549) (itemEzeNr,0.00018397824896965176)* (itemcWumf,0.0001821090845623985) (itemkHjKP,0.00015558040468022227) (itemd7GN3,0.0001329463702859357) (itemMNxUT,0.00013233700883574784) (itemXLYXV,0.0001274539390578866)
user5FxiH: (itemRKTJC,0.0005971522186882794)* (itemTAGOA,0.0004786455538123846) (itemy6Af3,0.00037095084553584456) (itemZIbqG,0.000271095079369843) (itemnO4tX,0.0002472642227075994) (itemN8AZu,0.0002441372344037518) (itemllUul,0.0002316623431397602)* (itemCmV8W,0.00019914536096621305) (itemOCA2H,0.00019611052994150668)* (item178I3,0.0001599406823515892) (itemSnsYW,0.00015400115808006376)* (itemcvY2p,0.0001266586477868259) (itemEB2ZL,0.00011579070996958762) (itemDF5f3,0.00011281418119324371) (itemg6NgV,0.00010870366531889886)* (itemYOYte,9.600530756870285e-05) (itemYp8lv,9.265608969144523e-05)* (itemJaOdU,9.163346840068698e-05)* (item03CQ6,9.049545042216778e-05) (item96Uu6,7.76555752963759e-05)
useriCq0M: (itemYp8lv,0.0005605092737823725)* (itemN8AZu,0.0003774024953600019) (itemJyBn3,0.0003540873876772821) (itemcvY2p,0.0003530169778969139) (itemKHT0l,0.0003499921294860542) (itemdqVVX,0.00033147234353236854)* (itemUFxkv,0.0003153096477035433) (itemllAnb,0.0002909155155066401) (itemup8oB,0.00028176294290460646) (itemd7GN3,0.00027978760772384703) (itemehZbz,0.00026833880110643804) (itembuWyf,0.00022280072153080255) (itemQJNS2,0.0002162347809644416) (itemxvrbY,0.00021155182912480086) (items32yz,0.0002101465070154518) (itema506d,0.00020615110406652093) (item2FMEC,0.00016315601533278823) (itemyo43o,0.00015517047722823918) (itemcAUzH,0.00014618656132370234)* (itemwBj8x,0.0001432984136044979)
usernfs1b: (itemjIyZN,0.00034207486896775663) (itemakzor,0.00032980815740302205) (itemyWo9i,0.0002797050110530108) (itemWngsI,0.00026441854424774647) (itemWeaex,0.0002613728283904493) (itemDfuZl,0.00025011796969920397) (itemiCowm,0.00023080249957274646) (itemUo6cI,0.00021258425840642303) (itemBkBCG,0.00020901790412608534) (itemVda4U,0.00019375712145119905) (itemLPkI9,0.00019368479843251407) (itemDYrOS,0.0001865136728156358) (itemrT9kO,0.00017355142335873097) (itemQJNS2,0.0001702846202533692)* (itemzfaal,0.00014583911979570985) (item9DjWX,0.0001376502332277596) (itemjeN5W,0.0001367429649690166) (itemfL8PL,0.00012973303091712296)* (itemr1zoc,0.0001207445893669501) (itemYp8lv,0.0001153664561570622)*
userm4mHu: (itemJyBn3,0.0004833528073504567) (itemHrihE,0.00047693043597973883) (itemjIyZN,0.0004399153694976121) (itemZIbqG,0.0003934251144528389) (itemAj7Pj,0.000330284092342481) (itemEQ5kD,0.0002804697141982615) (item80q9y,0.0002585798210930079) (itemdoXAn,0.00024402722192462534) (item6hTeJ,0.00023581308778375387) (itemd9ChJ,0.00020317781309131533) (itemrDLmp,0.00020234358089510351)* (itemdC6Wf,0.00019519768829923123) (item23scr,0.00019290397176519036) (itemiCowm,0.00018389633623883128) (itemvjUdv,0.00017805509560275823) (item84cQ6,0.00015819765394553542) (itemJaOdU,0.0001562800316605717) (itemBkBCG,0.00015574722783640027) (itemeROTS,0.0001362118637189269) (items32yz,8.05557137937285e-05)
userNuBW9: (item52xJ8,0.00046613806625828147)* (itemLDh7R,0.00038621280691586435) (itemYgdNj,0.00038160764961503446) (itemnvCLA,0.00033053793595172465) (itemmt9Zs,0.00032695248955860734) (itemUiRdE,0.0003153469297103584) (itemTuHK9,0.0002584198082331568) (itemjIyZN,0.00023277277068700641) (itemvQ7sQ,0.00023245636839419603) (itemYOYte,0.00022799099679104984) (itemrDLmp,0.00022434128914028406) (itemTAGOA,0.00022063800133764744) (item162CY,0.00021445182210300118) (itemVARpF,0.0002088627516059205) (item178I3,0.00020342032075859606) (itemcVs96,0.00019253403297625482) (itemWngsI,0.00016575084009673446) (itemV1Vwk,0.0001656604144955054) (itemguPDr,0.0001619165122974664) (itemdC6Wf,0.00015468461788259447)
userwXmpL: (itemH8gzP,0.0005723077338188887)* (itemmt9Zs,0.0004741466254927218) (itemqth87,0.0003953463747166097) (itemjeN5W,0.0003589819243643433) (item0amMQ,0.0003508214431349188)* (itemd7GN3,0.0003475970006547868) (itemySRfm,0.00029483807156793773) (item4FB6e,0.00029032124439254403) (itemEwdGW,0.00027038942789658904) (itemgRlgs,0.0002476971421856433)* (itemxbm5F,0.00023585256712976843) (item0VuxA,0.00018569486564956605) (itemqD4yX,0.00018161089974455535) (itemuaFxY,0.00014592740626540035) (itemxCvQp,0.0001373616833006963)* (itemEzeNr,0.00012919690925627947) (itemwrPNe,0.0001273188681807369) (items32yz,0.00011741922935470939) (item6hTeJ,0.00011284800712019205) (itemRy5SF,0.00010882758215302601)
userRGYXR: (itemjIyZN,0.00045770028373226523) (itemAj7Pj,0.000418086041463539)* (itemmMX2p,0.0003458829305600375) (itemiCowm,0.00033323175739496946) (itemXLYXV,0.00030806881841272116) (itemvn3OC,0.000298262428259477)* (itemPn5yf,0.00029454764444381) (itemXxPjl,0.0002686114748939872)* (item84cQ6,0.0002671909751370549) (itemBkBCG,0.00025712104979902506)* (itempGfZ6,0.00023897940991446376) (item9lgJn,0.0002304597874172032) (itemDfuZl,0.00022909736435394734) (itemJaOdU,0.0002280882908962667) (itemexwfY,0.00022785324836149812) (itemrT9kO,0.0002143802266800776) (itemd9ChJ,0.00019509042613208294) (itemllAnb,0.00018422477296553552) (itemr1zoc,0.00018081669986713678) (itemZIbqG,0.00017701243632473052)*
user7oJ9D: (itemgRlgs,0.0005372741725295782) (itemHrihE,0.0005142321460880339)* (itemVARpF,0.0003337729722261429) (itemjeN5W,0.00028745000599883497)* (itemcVs96,0.0002867814037017524) (itemEzeNr,0.00028572638984769583) (itemw0Hbk,0.0002548536576796323)* (itemllAnb,0.00025280003319494426) (itemN8AZu,0.0002400430093985051) (itemguPDr,0.00018337764777243137) (itemLPkI9,0.000163212331244722) (iteme5OvS,0.00016013368440326303) (itemzfaal,0.00014239331358112395) (itemnvCLA,0.0001410409895470366) (item4p3W3,0.00012316567881498486) (itemJyBn3,0.00012008063640678301)* (item162CY,0.00011818822531495243) (itemTuHK9,0.00010965114779537544) (itemGAqYy,0.00010733889939729124) (itemSeyqb,0.00010169640881940722)
userIYes5: (itemwrPNe,0.00043925715726800263) (itemjIyZN,0.00042875687358900905) (item9lgJn,0.0003942255862057209) (itemiCowm,0.00035728575312532485) (itemTuHK9,0.00034463798510842025) (itemfL8PL,0.0003425049944780767) (itemMzrpc,0.00031167810084298253)* (item52xJ8,0.00030931696528568864)* (itemlepVl,0.00029714059201069176)* (itemJyBn3,0.0002497331879567355)* (item31doJ,0.0002395769552094862) (itemguPDr,0.00022465366055257618) (itemzexIV,0.00017931358888745308) (itemg6NgV,0.00017578172264620662) (itemWngsI,0.00017569272313266993) (itemSW5s8,0.0001731545344227925) (itemkHjKP,0.0001341040915576741) (itemAzjPR,0.00013384314661379904) (itemrDLmp,8.484267891617492e-05) (itemf6vR5,8.469464955851436e-05)
