Model,Campus,Loss,TopK,Metric,Baseline(loss0),Value,AbsDiff,RelDiff(%)
NCL,campus_10,loss1,Top 3,Hit Ratio,0.21929,0.21182,-0.007470000000000004,-3.406448082447902
NCL,campus_10,loss1,Top 3,Precision,0.27121,0.26198,-0.009230000000000016,-3.403266841193177
NCL,campus_10,loss1,Top 3,Recall,0.29504,0.28427,-0.010770000000000002,-3.6503524945770067
NCL,campus_10,loss1,Top 3,NDCG,0.35425,0.34102,-0.01323000000000002,-3.7346506704304923
NCL,campus_10,loss1,Top 5,Hit Ratio,0.30348,0.29378,-0.009700000000000042,-3.19625675497563
NCL,campus_10,loss1,Top 5,Precision,0.2252,0.218,-0.007200000000000012,-3.197158081705156
NCL,campus_10,loss1,Top 5,Recall,0.38087,0.37067,-0.010199999999999987,-2.6780791346128567
NCL,campus_10,loss1,Top 5,NDCG,0.37436,0.36195,-0.012410000000000032,-3.3149909178331107
NCL,campus_10,loss1,Top 10,Hit Ratio,0.43723,0.43163,-0.005599999999999994,-1.280790430665781
NCL,campus_10,loss1,Top 10,Precision,0.16223,0.16015,-0.0020800000000000263,-1.282130308820826
NCL,campus_10,loss1,Top 10,Recall,0.49628,0.49224,-0.004039999999999988,-0.8140565809623576
NCL,campus_10,loss1,Top 10,NDCG,0.4088,0.39994,-0.008859999999999979,-2.1673189823874703
NCL,campus_10,loss1,Top 20,Hit Ratio,0.57673,0.56979,-0.006939999999999946,-1.20333604979799
NCL,campus_10,loss1,Top 20,Precision,0.10699,0.1057,-0.0012899999999999995,-1.2057201607626875
NCL,campus_10,loss1,Top 20,Recall,0.60225,0.59369,-0.008559999999999901,-1.4213366542133503
NCL,campus_10,loss1,Top 20,NDCG,0.44621,0.43624,-0.009969999999999979,-2.2343739494856636
NCL,campus_10,loss2,Top 3,Hit Ratio,0.21929,0.21929,0.0,0.0
NCL,campus_10,loss2,Top 3,Precision,0.27121,0.27121,0.0,0.0
NCL,campus_10,loss2,Top 3,Recall,0.29504,0.29599,0.0009499999999999509,0.32199023861169696
NCL,campus_10,loss2,Top 3,NDCG,0.35425,0.35553,0.0012800000000000034,0.36132674664784853
NCL,campus_10,loss2,Top 5,Hit Ratio,0.30348,0.29915,-0.0043300000000000005,-1.4267826545406617
NCL,campus_10,loss2,Top 5,Precision,0.2252,0.22199,-0.0032100000000000184,-1.4253996447602213
NCL,campus_10,loss2,Top 5,Recall,0.38087,0.37619,-0.004679999999999962,-1.228765720587067
NCL,campus_10,loss2,Top 5,NDCG,0.37436,0.37238,-0.0019800000000000373,-0.528902660540666
NCL,campus_10,loss2,Top 10,Hit Ratio,0.43723,0.43454,-0.0026900000000000257,-0.6152368318733905
NCL,campus_10,loss2,Top 10,Precision,0.16223,0.16123,-0.0010000000000000009,-0.6164088023176976
NCL,campus_10,loss2,Top 10,Recall,0.49628,0.49215,-0.0041300000000000225,-0.8321915047956844
NCL,campus_10,loss2,Top 10,NDCG,0.4088,0.40769,-0.0011099999999999999,-0.2715264187866927
NCL,campus_10,loss2,Top 20,Hit Ratio,0.57673,0.57397,-0.0027599999999999847,-0.4785601581329192
NCL,campus_10,loss2,Top 20,Precision,0.10699,0.10648,-0.0005099999999999966,-0.4766800635573386
NCL,campus_10,loss2,Top 20,Recall,0.60225,0.59508,-0.007169999999999899,-1.1905354919053381
NCL,campus_10,loss2,Top 20,NDCG,0.44621,0.44436,-0.0018500000000000183,-0.4146029896237239
NCL,campus_10,loss3,Top 3,Hit Ratio,0.21929,0.2207,0.0014099999999999946,0.6429841762050228
NCL,campus_10,loss3,Top 3,Precision,0.27121,0.27296,0.0017499999999999738,0.6452564433464746
NCL,campus_10,loss3,Top 3,Recall,0.29504,0.29867,0.0036299999999999666,1.2303416485900103
NCL,campus_10,loss3,Top 3,NDCG,0.35425,0.35832,0.004070000000000018,1.148906139731833
NCL,campus_10,loss3,Top 5,Hit Ratio,0.30348,0.30355,6.999999999995898e-05,0.023065770396717734
NCL,campus_10,loss3,Top 5,Precision,0.2252,0.22526,5.999999999997674e-05,0.026642984014199258
NCL,campus_10,loss3,Top 5,Recall,0.38087,0.38223,0.0013600000000000279,0.3570772179483887
NCL,campus_10,loss3,Top 5,NDCG,0.37436,0.37698,0.0026199999999999557,0.6998610962709573
NCL,campus_10,loss3,Top 10,Hit Ratio,0.43723,0.43954,0.0023099999999999787,0.5283260526496304
NCL,campus_10,loss3,Top 10,Precision,0.16223,0.16309,0.0008599999999999997,0.5301115699932193
NCL,campus_10,loss3,Top 10,Recall,0.49628,0.49868,0.0024000000000000132,0.4835979688885333
NCL,campus_10,loss3,Top 10,NDCG,0.4088,0.41212,0.0033199999999999896,0.8121330724070425
NCL,campus_10,loss3,Top 20,Hit Ratio,0.57673,0.5771,0.00036999999999998145,0.06415480380767109
NCL,campus_10,loss3,Top 20,Precision,0.10699,0.10706,7.000000000000062e-05,0.06542667539022395
NCL,campus_10,loss3,Top 20,Recall,0.60225,0.59836,-0.003889999999999949,-0.6459111664591033
NCL,campus_10,loss3,Top 20,NDCG,0.44621,0.44779,0.0015800000000000258,0.35409336411107456
NCL,campus_10,loss4,Top 3,Hit Ratio,0.21929,0.2069,-0.012390000000000012,-5.650052441971823
NCL,campus_10,loss4,Top 3,Precision,0.27121,0.25588,-0.01533000000000001,-5.652446443715206
NCL,campus_10,loss4,Top 3,Recall,0.29504,0.28269,-0.012350000000000028,-4.185873101952287
NCL,campus_10,loss4,Top 3,NDCG,0.35425,0.33479,-0.019460000000000033,-5.493295695130566
NCL,campus_10,loss4,Top 5,Hit Ratio,0.30348,0.28564,-0.017840000000000023,-5.8784763411098
NCL,campus_10,loss4,Top 5,Precision,0.2252,0.21196,-0.013240000000000002,-5.879218472468917
NCL,campus_10,loss4,Top 5,Recall,0.38087,0.36364,-0.017229999999999968,-4.523853283272499
NCL,campus_10,loss4,Top 5,NDCG,0.37436,0.35408,-0.02028000000000002,-5.4172454322043
NCL,campus_10,loss4,Top 10,Hit Ratio,0.43723,0.42148,-0.015749999999999986,-3.6022230862475095
NCL,campus_10,loss4,Top 10,Precision,0.16223,0.15638,-0.005850000000000022,-3.605991493558541
NCL,campus_10,loss4,Top 10,Recall,0.49628,0.48438,-0.011900000000000022,-2.3978399290723025
NCL,campus_10,loss4,Top 10,NDCG,0.4088,0.39215,-0.016649999999999998,-4.072896281800391
NCL,campus_10,loss4,Top 20,Hit Ratio,0.57673,0.56001,-0.016719999999999957,-2.8991035666603016
NCL,campus_10,loss4,Top 20,Precision,0.10699,0.10389,-0.0031000000000000055,-2.897467052995612
NCL,campus_10,loss4,Top 20,Recall,0.60225,0.58645,-0.015799999999999925,-2.6234952262349402
NCL,campus_10,loss4,Top 20,NDCG,0.44621,0.42893,-0.017280000000000018,-3.8726160328096677
NCL,campus_10,loss5,Top 3,Hit Ratio,0.21929,0.22018,0.0008899999999999741,0.40585526015777007
NCL,campus_10,loss5,Top 3,Precision,0.27121,0.27232,0.0011099999999999999,0.4092769440654843
NCL,campus_10,loss5,Top 3,Recall,0.29504,0.29553,0.0004899999999999904,0.1660791757049859
NCL,campus_10,loss5,Top 3,NDCG,0.35425,0.35674,0.0024899999999999922,0.7028934368383888
NCL,campus_10,loss5,Top 5,Hit Ratio,0.30348,0.30482,0.0013399999999999523,0.4415447475945539
NCL,campus_10,loss5,Top 5,Precision,0.2252,0.2262,0.0010000000000000009,0.44404973357016025
NCL,campus_10,loss5,Top 5,Recall,0.38087,0.38289,0.0020200000000000218,0.5303646913645133
NCL,campus_10,loss5,Top 5,NDCG,0.37436,0.37738,0.003019999999999967,0.8067101186024059
NCL,campus_10,loss5,Top 10,Hit Ratio,0.43723,0.43798,0.0007499999999999729,0.17153443267844679
NCL,campus_10,loss5,Top 10,Precision,0.16223,0.1625,0.00026999999999999247,0.16643037662577356
NCL,campus_10,loss5,Top 10,Recall,0.49628,0.49466,-0.0016200000000000103,-0.3264286289997603
NCL,campus_10,loss5,Top 10,NDCG,0.4088,0.41057,0.0017699999999999938,0.432974559686887
NCL,campus_10,loss5,Top 20,Hit Ratio,0.57673,0.58195,0.005220000000000002,0.9051029077731353
NCL,campus_10,loss5,Top 20,Precision,0.10699,0.10796,0.0009699999999999986,0.9066267875502372
NCL,campus_10,loss5,Top 20,Recall,0.60225,0.60608,0.00383,0.6359485263594853
NCL,campus_10,loss5,Top 20,NDCG,0.44621,0.44969,0.003479999999999983,0.7799018399408313
NCL,campus_102,loss1,Top 3,Hit Ratio,0.21558,0.2063,-0.009279999999999983,-4.30466648112069
NCL,campus_102,loss1,Top 3,Precision,0.23706,0.22685,-0.010209999999999997,-4.306926516493713
NCL,campus_102,loss1,Top 3,Recall,0.28342,0.27151,-0.011910000000000032,-4.202244019476407
NCL,campus_102,loss1,Top 3,NDCG,0.32196,0.30596,-0.016000000000000014,-4.969561436203259
NCL,campus_102,loss1,Top 5,Hit Ratio,0.30016,0.2837,-0.016459999999999975,-5.483742004264385
NCL,campus_102,loss1,Top 5,Precision,0.19804,0.18718,-0.01085999999999998,-5.483740658452828
NCL,campus_102,loss1,Top 5,Recall,0.37052,0.35504,-0.015479999999999994,-4.177912123502104
NCL,campus_102,loss1,Top 5,NDCG,0.34536,0.32772,-0.01763999999999999,-5.10771369006254
NCL,campus_102,loss1,Top 10,Hit Ratio,0.43211,0.41403,-0.018079999999999985,-4.184119784314176
NCL,campus_102,loss1,Top 10,Precision,0.14255,0.13658,-0.005970000000000003,-4.188004209049458
NCL,campus_102,loss1,Top 10,Recall,0.48864,0.47723,-0.011410000000000031,-2.335052390307799
NCL,campus_102,loss1,Top 10,NDCG,0.38683,0.37161,-0.015220000000000011,-3.934544890520386
NCL,campus_102,loss1,Top 20,Hit Ratio,0.55669,0.54779,-0.008900000000000019,-1.598735382349246
NCL,campus_102,loss1,Top 20,Precision,0.09182,0.09036,-0.001460000000000003,-1.5900675234153812
NCL,campus_102,loss1,Top 20,Recall,0.58771,0.58772,1.0000000000065512e-05,0.0017015194568861364
NCL,campus_102,loss1,Top 20,NDCG,0.42315,0.41178,-0.011370000000000047,-2.686990428925924
NCL,campus_102,loss2,Top 3,Hit Ratio,0.21558,0.21759,0.0020100000000000118,0.9323684942944669
NCL,campus_102,loss2,Top 3,Precision,0.23706,0.23927,0.0022100000000000175,0.9322534379482063
NCL,campus_102,loss2,Top 3,Recall,0.28342,0.28495,0.0015299999999999758,0.5398348740385208
NCL,campus_102,loss2,Top 3,NDCG,0.32196,0.32467,0.00270999999999999,0.8417194682569231
NCL,campus_102,loss2,Top 5,Hit Ratio,0.30016,0.29997,-0.00018999999999996797,-0.06329957356075692
NCL,campus_102,loss2,Top 5,Precision,0.19804,0.19792,-0.00011999999999998123,-0.060593819430408626
NCL,campus_102,loss2,Top 5,Recall,0.37052,0.37371,0.0031899999999999706,0.8609521753211623
NCL,campus_102,loss2,Top 5,NDCG,0.34536,0.3473,0.0019399999999999973,0.5617326847347688
NCL,campus_102,loss2,Top 10,Hit Ratio,0.43211,0.42934,-0.0027699999999999947,-0.6410404758047706
NCL,campus_102,loss2,Top 10,Precision,0.14255,0.14164,-0.0009100000000000219,-0.6383725008769006
NCL,campus_102,loss2,Top 10,Recall,0.48864,0.49187,0.003229999999999955,0.6610183366077184
NCL,campus_102,loss2,Top 10,NDCG,0.38683,0.3881,0.0012699999999999934,0.32830959336142324
NCL,campus_102,loss2,Top 20,Hit Ratio,0.55669,0.5566,-9.00000000000345e-05,-0.01616698701252663
NCL,campus_102,loss2,Top 20,Precision,0.09182,0.09181,-9.999999999996123e-06,-0.01089087344804631
NCL,campus_102,loss2,Top 20,Recall,0.58771,0.59357,0.005860000000000087,0.9970904017287587
NCL,campus_102,loss2,Top 20,NDCG,0.42315,0.42534,0.0021899999999999697,0.5175469691598652
NCL,campus_102,loss3,Top 3,Hit Ratio,0.21558,0.21797,0.0023900000000000032,1.108637164857595
NCL,campus_102,loss3,Top 3,Precision,0.23706,0.23969,0.0026299999999999935,1.1094237745718356
NCL,campus_102,loss3,Top 3,Recall,0.28342,0.28389,0.00046999999999997044,0.1658316279726097
NCL,campus_102,loss3,Top 3,NDCG,0.32196,0.32334,0.0013799999999999923,0.4286246738725284
NCL,campus_102,loss3,Top 5,Hit Ratio,0.30016,0.30016,0.0,0.0
NCL,campus_102,loss3,Top 5,Precision,0.19804,0.19804,0.0,0.0
NCL,campus_102,loss3,Top 5,Recall,0.37052,0.37166,0.0011399999999999744,0.30767569901758995
NCL,campus_102,loss3,Top 5,NDCG,0.34536,0.34572,0.00036000000000002697,0.10423905489924337
NCL,campus_102,loss3,Top 10,Hit Ratio,0.43211,0.43173,-0.00037999999999999146,-0.08794057068801728
NCL,campus_102,loss3,Top 10,Precision,0.14255,0.14242,-0.000130000000000019,-0.09119607155385408
NCL,campus_102,loss3,Top 10,Recall,0.48864,0.49022,0.0015799999999999703,0.32334643091027554
NCL,campus_102,loss3,Top 10,NDCG,0.38683,0.3874,0.0005700000000000149,0.14735154977639142
NCL,campus_102,loss3,Top 20,Hit Ratio,0.55669,0.56052,0.00383,0.6879951139772584
NCL,campus_102,loss3,Top 20,Precision,0.09182,0.09246,0.0006400000000000017,0.697015900675236
NCL,campus_102,loss3,Top 20,Recall,0.58771,0.59547,0.0077600000000001,1.320379098535009
NCL,campus_102,loss3,Top 20,NDCG,0.42315,0.42566,0.0025099999999999567,0.5931702705896152
NCL,campus_102,loss4,Top 3,Hit Ratio,0.21558,0.20457,-0.011009999999999992,-5.107152797105479
NCL,campus_102,loss4,Top 3,Precision,0.23706,0.22496,-0.0121,-5.104193031300093
NCL,campus_102,loss4,Top 3,Recall,0.28342,0.27357,-0.009850000000000025,-3.4754075224049203
NCL,campus_102,loss4,Top 3,NDCG,0.32196,0.3057,-0.016259999999999997,-5.050316809541557
NCL,campus_102,loss4,Top 5,Hit Ratio,0.30016,0.28495,-0.015210000000000001,-5.067297441364606
NCL,campus_102,loss4,Top 5,Precision,0.19804,0.18801,-0.010029999999999983,-5.064633407392438
NCL,campus_102,loss4,Top 5,Recall,0.37052,0.35696,-0.013560000000000016,-3.659721472525104
NCL,campus_102,loss4,Top 5,NDCG,0.34536,0.32852,-0.01684000000000002,-4.876071345842027
NCL,campus_102,loss4,Top 10,Hit Ratio,0.43211,0.41537,-0.016739999999999977,-3.8740135613616853
NCL,campus_102,loss4,Top 10,Precision,0.14255,0.13703,-0.005519999999999997,-3.872325499824621
NCL,campus_102,loss4,Top 10,Recall,0.48864,0.48026,-0.008379999999999999,-1.7149639816633917
NCL,campus_102,loss4,Top 10,NDCG,0.38683,0.37248,-0.01435000000000003,-3.7096398934932733
NCL,campus_102,loss4,Top 20,Hit Ratio,0.55669,0.5454,-0.011290000000000022,-2.028058704126178
NCL,campus_102,loss4,Top 20,Precision,0.09182,0.08996,-0.0018600000000000005,-2.0257024613373997
NCL,campus_102,loss4,Top 20,Recall,0.58771,0.58775,4.0000000000040004e-05,0.006806077827506765
NCL,campus_102,loss4,Top 20,NDCG,0.42315,0.41156,-0.011590000000000045,-2.7389814486588784
NCL,campus_102,loss5,Top 3,Hit Ratio,0.21558,0.21653,0.0009500000000000064,0.440671676407833
NCL,campus_102,loss5,Top 3,Precision,0.23706,0.23811,0.0010499999999999954,0.4429258415590971
NCL,campus_102,loss5,Top 3,Recall,0.28342,0.28277,-0.0006499999999999839,-0.2293416131536179
NCL,campus_102,loss5,Top 3,NDCG,0.32196,0.32126,-0.0007000000000000339,-0.21741831283390292
NCL,campus_102,loss5,Top 5,Hit Ratio,0.30016,0.29834,-0.0018199999999999883,-0.6063432835820857
NCL,campus_102,loss5,Top 5,Precision,0.19804,0.19684,-0.0012000000000000066,-0.6059381943041844
NCL,campus_102,loss5,Top 5,Recall,0.37052,0.3682,-0.0023199999999999887,-0.6261470365972116
NCL,campus_102,loss5,Top 5,NDCG,0.34536,0.34281,-0.0025499999999999967,-0.7383599722029177
